name0,116,47,177,107
name1,163,70,227,131
name2,203,105,273,167
name3,256,134,318,182
name4,305,164,372,219
name5,353,191,416,252
name6,404,212,462,279
name7,458,247,527,325
name8,503,274,569,340
name9,559,308,624,373
name10,604,339,668,416
name11,227,47,286,112
name12,267,71,326,144
name13,318,100,380,168
name14,371,133,434,200
name15,424,164,480,223
name16,480,188,533,265
name17,526,221,581,287
name18,578,250,633,324
name19,683,312,735,378
name20,737,334,788,414
name21,460,47,507,110
name22,507,72,562,128
name23,554,100,615,160
name24,603,134,657,198
name25,661,154,712,218
name26,709,184,773,260
name27,768,217,834,282
name28,823,254,884,322
name29,874,279,933,357
name30,568,45,624,112
name31,673,100,723,169
name32,730,123,779,202
name33,629,72,668,139
name34,785,162,834,227
name35,837,187,894,256
name36,893,212,958,290
name37,868,64,920,131
name38,922,94,970,164
